2014/08/21,12:34:52,420EA994,-72,1,141,20,2864,42.03,222,287,12451,64972,1
2014/08/21,12:34:52,42B4744E,-38,1,76,20,3142,43.77,219,984,436,65476,1
2014/08/21,12:34:53,42081734,-59,2,236,20,2989,42.86,222,263,27687,22108,1
2014/08/21,12:34:57,420EA994,-67,1,142,20,2864,42.03,222,288,12451,65031,1
2014/08/21,12:35:02,420EA994,-65,1,143,20,2864,42.03,222,288,12451,65083,1
2014/08/21,12:35:07,420EA994,-66,1,144,20,2864,42.05,222,289,12451,65132,1
2014/08/21,12:35:09,42B4744E,-40,1,77,20,3142,43.77,219,984,436,126,1
2014/08/21,12:35:12,420EA994,-67,1,145,20,2864,42.03,222,289,12451,65181,1
2014/08/21,12:35:13,427CF4E4,-49,1,51,20,2812,42.62,221,316,6818,47647,1
2014/08/21,12:35:14,427CF4E4,-49,2,52,20,2812,42.62,221,316,6819,47689,1
2014/08/21,12:35:15,42AA57D9,-57,1,188,20,3142,41.76,223,246,3054,29281,1
2014/08/21,12:35:17,420EA994,-62,1,146,20,2864,42.03,222,290,12451,65225,1
2014/08/21,12:35:22,420EA994,-61,1,147,20,2864,42.03,222,290,12451,65293,1
2014/08/21,12:35:25,42B4744E,-46,1,78,20,3142,43.62,219,984,436,320,1
2014/08/21,12:35:26,42FE2C58,-38,1,124,20,2659,39.56,232,899,856,15203,1
2014/08/21,12:35:27,420EA994,-67,1,148,20,2864,42.03,222,291,12451,65340,1
2014/08/21,12:35:31,420EA994,-64,1,149,20,2864,42.05,222,291,12451,65391,1
2014/08/21,12:35:32,42DEB6AA,-50,1,213,20,3087,41.96,221,281,8947,1628,1
2014/08/21,12:35:33,42DEB6AA,-51,2,214,20,3087,41.96,221,281,8948,1665,1
2014/08/21,12:35:36,420EA994,-62,1,150,20,2864,42.05,222,292,12451,65453,1
2014/08/21,12:35:41,42B4744E,-44,1,79,20,3142,43.67,219,985,436,516,1
2014/08/21,12:35:41,420EA994,-64,1,151,20,2864,42.05,222,292,12451,65513,1
2014/08/21,12:35:42,42A8501C,-39,1,248,20,3150,38.17,237,661,2330,29471,1
2014/08/21,12:35:43,4245BE7B,-37,1,119,20,2975,42.28,215,984,647,57592,1
2014/08/21,12:35:46,420EA994,-72,1,152,20,2864,42.05,222,292,12451,22,1
2014/08/21,12:35:50,42081734,-61,1,237,20,2989,42.86,222,269,27692,24481,1
2014/08/21,12:35:51,420EA994,-70,1,153,20,2864,42.03,222,288,12451,62,1
2014/08/21,12:35:56,420EA994,-69,1,154,20,2864,42.05,222,290,12451,115,1
2014/08/21,12:35:58,42B4744E,-37,1,80,20,3142,43.63,219,986,436,693,1
2014/08/21,12:36:01,420EA994,-61,1,155,20,2864,42.05,222,290,12451,176,1
2014/08/21,12:36:06,420EA994,-67,1,156,20,2864,42.03,222,290,12451,232,1
2014/08/21,12:36:11,420EA994,-59,1,157,20,2864,42.05,222,291,12451,295,1
2014/08/21,12:36:12,427CF4E4,-46,1,53,20,2812,42.64,221,318,6820,48580,1
2014/08/21,12:36:14,427CF4E4,-46,2,54,20,2812,42.64,221,318,6821,48621,1
2014/08/21,12:36:14,42AA57D9,-53,1,189,20,3142,41.78,223,251,3054,30172,1
2014/08/21,12:36:14,42B4744E,-37,1,81,20,3142,43.65,219,988,436,832,1
2014/08/21,12:36:16,420EA994,-57,1,158,20,2864,42.05,222,292,12451,362,1
2014/08/21,12:36:21,420EA994,-58,1,159,20,2864,42.03,222,293,12451,418,1
2014/08/21,12:36:25,42FE2C58,-37,1,125,20,2659,39.59,232,921,856,16096,1
2014/08/21,12:36:26,420EA994,-56,1,160,20,2864,42.03,222,294,12451,471,1
2014/08/21,12:36:30,42DEB6AA,-50,1,215,20,3087,41.96,221,287,8949,2826,1
2014/08/21,12:36:30,42B4744E,-37,1,82,20,3142,43.63,219,990,436,1040,1
2014/08/21,12:36:31,420EA994,-60,1,161,20,2864,42.05,222,296,12451,527,1
2014/08/21,12:36:36,420EA994,-56,1,162,20,2864,42.05,222,294,12451,589,1
2014/08/21,12:36:40,42A8501C,-46,2,249,20,3150,38.17,237,661,2331,30562,1
2014/08/21,12:36:41,420EA994,-54,1,163,20,2864,42.05,222,290,12451,627,1
2014/08/21,12:36:42,42FE2C58,-38,2,126,20,2659,39.59,232,921,857,16433,1
2014/08/21,12:36:42,42A8501C,-39,1,250,20,3149,38.14,236,712,2331,30690,1
2014/08/21,12:36:46,420EA994,-57,1,164,20,2864,42.05,222,293,12451,687,1
2014/08/21,12:36:47,42B4744E,-37,1,83,20,3142,43.62,219,992,436,1213,1
2014/08/21,12:36:48,4245BE7B,-37,1,120,20,2975,42.28,215,990,647,58336,1
2014/08/21,12:36:50,42081734,-54,1,239,20,2989,42.86,222,276,27697,26707,1
2014/08/21,12:36:51,420EA994,-57,1,165,20,2864,42.05,222,295,12451,746,1
2014/08/21,12:36:54,42DEB6AA,-52,2,216,20,3087,41.96,221,287,8950,3236,1
2014/08/21,12:36:56,420EA994,-57,1,166,20,2864,42.05,222,309,12451,792,1
2014/08/21,12:37:01,420EA994,-58,1,167,20,2864,42.03,222,314,12451,868,1
2014/08/21,12:37:03,42B4744E,-40,1,84,20,3142,43.62,219,994,436,1396,1
2014/08/21,12:37:04,42081734,-52,2,240,20,2989,42.86,222,276,27698,27153,1
2014/08/21,12:37:06,420EA994,-54,1,168,20,2864,42.05,222,307,12451,933,1
2014/08/21,12:37:11,420EA994,-54,1,169,20,2864,42.05,222,306,12451,982,1
