2018/10/23,18:09:15,4294D9B6,-58,2,0,20,3019,41.68,242,0,1,138,1
2018/10/23,18:10:00,420B14AC,-51,2,0,20,2982,41.33,243,0,1,118,1
2018/10/23,18:10:03,42724E0F,-64,1,0,20,3187,36.17,251,0,0,768,1
2018/10/23,18:10:18,4294D9B6,-70,1,1,20,2990,40.73,248,144,14,6800,1
2018/10/23,18:10:20,4294D9B6,-49,2,2,20,2990,40.73,248,144,15,7207,1
2018/10/23,18:10:34,42CBD294,-54,1,0,20,3011,38.22,249,266,0,6289,1
2018/10/23,18:10:59,420B14AC,-44,1,1,20,2980,39.53,249,288,7,3917,1
2018/10/23,18:11:06,42724E0F,-45,1,1,20,3185,37.39,255,301,0,5619,1
2018/10/23,18:11:15,420B14AC,-44,2,2,20,2980,39.53,249,288,8,4166,1
2018/10/23,18:11:22,4294D9B6,-50,1,3,20,2990,38.52,251,318,21,9745,1
2018/10/23,18:11:24,4294D9B6,-49,2,4,20,2990,38.52,251,318,21,9941,1
2018/10/23,18:11:39,42CBD294,-57,1,1,20,3012,35.97,251,268,0,8514,1
2018/10/23,18:12:00,420B14AC,-45,1,3,20,2982,38.14,252,288,11,5800,1
2018/10/23,18:12:06,420B14AC,-44,2,4,20,2982,38.14,252,288,12,5915,1
2018/10/23,18:12:10,42724E0F,-43,1,2,20,3185,35.84,255,300,0,7644,1
2018/10/23,18:12:27,4294D9B6,-51,1,5,20,3019,36.63,252,319,31,13878,1
2018/10/23,18:12:30,4294D9B6,-53,2,6,20,3019,36.63,252,319,32,13950,1
2018/10/23,18:12:44,42CBD294,-62,1,2,20,3012,35.37,252,268,0,10820,1
2018/10/23,18:13:01,420B14AC,-55,1,5,20,2974,36.88,254,260,18,9896,1
2018/10/23,18:13:13,42724E0F,-54,1,3,20,3185,35.39,256,242,0,11252,1
2018/10/23,18:13:31,4294D9B6,-55,1,7,20,3019,36.19,253,249,36,17095,1
2018/10/23,18:13:33,4294D9B6,-53,2,8,20,3019,36.19,253,249,37,17140,1
2018/10/23,18:13:39,420B14AC,-54,2,6,20,2974,36.88,254,260,19,10355,1
2018/10/23,18:13:49,42CBD294,-66,1,3,20,3013,35.13,253,232,0,13276,1
2018/10/23,18:14:01,420B14AC,-47,2,7,20,2974,36.88,254,260,22,11738,1
2018/10/23,18:14:01,420B14AC,-45,1,8,20,2960,36.08,256,195,22,11801,1
2018/10/23,18:14:17,42724E0F,-42,1,4,20,3185,34.74,256,241,0,13498,1
2018/10/23,18:14:36,4294D9B6,-47,1,9,20,3019,35.26,253,248,43,19696,1
2018/10/23,18:14:39,4294D9B6,-48,2,10,20,3019,35.26,253,248,44,19787,1
2018/10/23,18:14:54,42CBD294,-55,1,4,20,3014,34.43,253,232,0,15057,1
2018/10/23,18:15:01,420B14AC,-61,2,9,20,2960,36.08,256,195,31,19134,1
2018/10/23,18:15:02,420B14AC,-66,1,10,20,2946,35.00,250,15,31,19293,1
2018/10/23,18:15:20,42724E0F,-42,1,5,20,3185,34.20,256,241,0,14143,1
2018/10/23,18:15:40,4294D9B6,-53,1,11,20,3019,34.53,253,250,50,22188,1
2018/10/23,18:15:42,4294D9B6,-55,2,12,20,3019,34.53,253,250,51,22277,1
2018/10/23,18:16:03,420B14AC,-72,1,11,20,2982,34.69,245,18,32,20997,1
2018/10/23,18:16:24,42724E0F,-43,1,6,20,3184,34.06,256,257,0,18871,1
2018/10/23,18:16:44,4294D9B6,-50,1,13,20,3019,34.98,256,276,63,28641,1
2018/10/23,18:16:46,4294D9B6,-50,2,14,20,3019,34.98,256,276,64,28732,1
2018/10/23,18:17:03,420B14AC,-70,1,12,20,2982,35.39,239,17,32,21793,1
2018/10/23,18:17:05,42CBD294,-63,1,6,20,3018,35.00,254,219,0,23157,1
2018/10/23,18:17:27,42724E0F,-43,1,7,20,3184,34.15,255,252,0,21728,1
2018/10/23,18:17:49,4294D9B6,-45,1,15,20,3019,33.96,256,246,71,32017,1
2018/10/23,18:17:50,4294D9B6,-45,2,16,20,3019,33.96,256,246,72,32059,1
2018/10/23,18:18:04,420B14AC,-72,1,13,20,2982,35.90,234,15,32,22612,1
2018/10/23,18:18:10,42CBD294,-59,1,7,20,3018,33.92,254,217,0,25738,1
2018/10/23,18:18:31,42724E0F,-44,1,8,20,3185,33.76,255,253,0,23513,1
2018/10/23,18:18:53,4294D9B6,-46,1,17,20,3019,33.67,256,246,78,34551,1
2018/10/23,18:18:55,4294D9B6,-47,2,18,20,3019,33.67,256,246,79,34632,1
2018/10/23,18:19:05,420B14AC,-67,1,14,20,2982,36.26,230,14,32,23430,1
2018/10/23,18:19:15,42CBD294,-63,1,8,20,3019,33.41,254,217,0,26774,1
2018/10/23,18:19:34,42724E0F,-46,1,9,20,3184,33.57,255,253,0,24899,1
2018/10/23,18:19:57,4294D9B6,-52,1,19,20,3019,33.08,255,247,85,37356,1
2018/10/23,18:20:01,4294D9B6,-50,2,20,20,3019,33.08,255,247,86,37460,1
2018/10/23,18:20:05,420B14AC,-67,1,15,20,2982,36.60,229,13,32,24238,1
2018/10/23,18:20:20,42CBD294,-52,1,9,20,3019,33.51,254,215,0,30012,1
2018/10/23,18:20:38,42724E0F,-42,1,10,20,3185,33.42,255,252,0,26906,1
