device,time,temperature,co2,humidity,battery,dewpoint,room
70B3D55F200001BC,2021-04-22 20:55:01+00,25.3,464,36.5,3,9.35,main bedroom
70B3D55F200001BC,2021-04-22 21:02:32+00,25.3,447,36.5,3,9.35,main bedroom
70B3D55F200001BB,2021-04-22 20:56:45+00,22.5,400,40.5,3,8.4,lounge
70B3D55F200001B9,2021-04-22 21:02:39+00,21,454,45,3,8.61,second bedroom
70B3D55F200001BB,2021-04-22 21:04:14+00,22.5,394,40.5,3,8.4,lounge
70B3D55F200001BC,2021-04-22 21:10:01+00,25.2,449,36.5,3,9.26,main bedroom
70B3D55F200001B9,2021-04-22 21:10:06+00,21,438,45,3,8.61,second bedroom
70B3D55F200001BB,2021-04-22 21:19:15+00,22,400,41,3,8.13,lounge
70B3D55F200001BB,2021-04-22 21:11:43+00,22.3,386,40.5,3,8.22,lounge
70B3D55F200001BC,2021-04-22 21:17:29+00,24.9,460,37,3,9.2,main bedroom
70B3D55F200001B9,2021-04-22 21:17:37+00,21,444,45,3,8.61,second bedroom
70B3D55F200001BB,2021-04-22 21:34:14+00,21.3,412,42,3,7.86,lounge
70B3D55F200001BC,2021-04-22 21:24:59+00,24.5,470,37.5,3,9.04,main bedroom
70B3D55F200001B9,2021-04-22 21:25:09+00,20.9,458,45,3,8.51,second bedroom
70B3D55F200001BB,2021-04-22 21:26:45+00,21.7,414,41.5,3,8.04,lounge
