device,time,temperature,co2,humidity,battery,dewpoint,room
70B3D55F200001B9,2021-04-22 11:10:08+00,18.7,446,51.5,3,8.5,second bedroom
70B3D55F200001BC,2021-04-22 11:17:24+00,19.2,431,50,3,8.52,main bedroom
70B3D55F200001BB,2021-04-22 11:11:57+00,18.4,438,52.5,3,8.5,lounge
70B3D55F200001B9,2021-04-22 11:17:40+00,18.6,431,51.5,3,8.4,second bedroom
70B3D55F200001BB,2021-04-22 11:19:27+00,18.4,431,52.5,3,8.5,lounge
70B3D55F200001BC,2021-04-22 11:24:55+00,19.2,431,50,3,8.52,main bedroom
70B3D55F200001B9,2021-04-22 11:25:09+00,18.6,442,51.5,3,8.4,second bedroom
70B3D55F200001BC,2021-04-22 11:32:23+00,19.1,433,50.5,3,8.57,main bedroom
70B3D55F200001BB,2021-04-22 11:26:56+00,18.3,436,52.5,3,8.41,lounge
70B3D55F200001B9,2021-04-22 11:32:37+00,18.6,426,51.5,3,8.4,second bedroom
70B3D55F200001BC,2021-04-22 11:39:55+00,19.1,433,50.5,3,8.57,main bedroom
70B3D55F200001BB,2021-04-22 11:34:25+00,18.3,434,52.5,3,8.41,lounge
70B3D55F200001B9,2021-04-22 11:40:05+00,18.5,434,51.5,3,8.31,second bedroom
70B3D55F200001BC,2021-04-22 11:47:26+00,19.1,440,50.5,3,8.57,main bedroom
70B3D55F200001BB,2021-04-22 11:41:53+00,18.2,448,52.5,3,8.32,lounge
70B3D55F200001B9,2021-04-22 11:47:36+00,18.5,426,51.5,3,8.31,second bedroom
70B3D55F200001BB,2021-04-22 11:56:54+00,18.2,440,53,3,8.46,lounge
70B3D55F200001BB,2021-04-22 11:49:22+00,18.2,416,53,3,8.46,lounge
70B3D55F200001B9,2021-04-22 12:02:37+00,18.5,433,52,3,8.45,second bedroom
70B3D55F200001BC,2021-04-22 11:54:55+00,19.1,412,50.5,3,8.57,main bedroom
70B3D55F200001B9,2021-04-22 11:55:08+00,18.5,428,51.5,3,8.31,second bedroom
70B3D55F200001BC,2021-04-22 12:02:26+00,19.1,445,50.5,3,8.57,main bedroom
70B3D55F200001BC,2021-04-22 12:09:54+00,19.1,430,50.5,3,8.57,main bedroom
70B3D55F200001BB,2021-04-22 12:04:23+00,18.1,413,53,3,8.37,lounge
70B3D55F200001B9,2021-04-22 12:10:05+00,18.4,431,52,3,8.36,second bedroom
70B3D55F200001BC,2021-04-22 12:17:25+00,19.1,436,50.5,3,8.57,main bedroom
70B3D55F200001BB,2021-04-22 12:11:53+00,18.1,429,53,3,8.37,lounge
70B3D55F200001BB,2021-04-22 12:19:21+00,18.1,439,53,3,8.37,lounge
70B3D55F200001B9,2021-04-22 12:17:36+00,18.4,448,52,3,8.36,second bedroom
70B3D55F200001BB,2021-04-22 12:26:50+00,18.1,416,53,3,8.37,lounge
70B3D55F200001BC,2021-04-22 12:24:54+00,19.1,433,50.5,3,8.57,main bedroom
70B3D55F200001B9,2021-04-22 12:25:04+00,18.4,437,52,3,8.36,second bedroom
70B3D55F200001BC,2021-04-22 12:32:26+00,19.1,437,50.5,3,8.57,main bedroom
70B3D55F200001B9,2021-04-22 12:32:32+00,18.4,432,52,3,8.36,second bedroom
70B3D55F200001B9,2021-04-22 12:40:04+00,18.4,427,52,3,8.36,second bedroom
70B3D55F200001BB,2021-04-22 12:34:21+00,18,426,53.5,3,8.41,lounge
70B3D55F200001BB,2021-04-22 12:41:53+00,18,422,53.5,3,8.41,lounge
70B3D55F200001BC,2021-04-22 12:39:56+00,19.1,425,50.5,3,8.57,main bedroom
70B3D55F200001BB,2021-04-22 12:49:22+00,18,424,53.5,3,8.41,lounge
70B3D55F200001BC,2021-04-22 12:47:26+00,19.1,442,50.5,3,8.57,main bedroom
70B3D55F200001B9,2021-04-22 12:47:36+00,18.4,434,52,3,8.36,second bedroom
70B3D55F200001BB,2021-04-22 12:56:50+00,18,439,53.5,3,8.41,lounge
70B3D55F200001BB,2021-04-22 13:04:18+00,17.9,430,53.5,3,8.32,lounge
70B3D55F200001BC,2021-04-22 12:54:58+00,19.1,415,50.5,3,8.57,main bedroom
70B3D55F200001B9,2021-04-22 12:55:05+00,18.4,421,52,3,8.36,second bedroom
70B3D55F200001BC,2021-04-22 13:02:29+00,19.1,422,50.5,3,8.57,main bedroom
70B3D55F200001B9,2021-04-22 13:02:34+00,18.3,436,52,3,8.27,second bedroom
70B3D55F200001BC,2021-04-22 13:10:00+00,19.1,437,50,3,8.43,main bedroom
70B3D55F200001B9,2021-04-22 13:10:03+00,18.3,428,52,3,8.27,second bedroom
70B3D55F200001BB,2021-04-22 13:19:14+00,17.9,422,54,3,8.46,lounge
70B3D55F200001BB,2021-04-22 13:11:46+00,17.9,413,53.5,3,8.32,lounge
70B3D55F200001BB,2021-04-22 13:26:43+00,17.9,424,54,3,8.46,lounge
70B3D55F200001BC,2021-04-22 13:17:29+00,19.1,433,50,3,8.43,main bedroom
70B3D55F200001B9,2021-04-22 13:17:34+00,18.3,444,52,3,8.27,second bedroom
70B3D55F200001BC,2021-04-22 13:24:56+00,19.2,436,50,3,8.52,main bedroom
70B3D55F200001B9,2021-04-22 13:25:04+00,18.3,428,52,3,8.27,second bedroom
70B3D55F200001BC,2021-04-22 13:32:25+00,19.2,430,50,3,8.52,main bedroom
70B3D55F200001B9,2021-04-22 13:32:35+00,18.3,439,52,3,8.27,second bedroom
70B3D55F200001BC,2021-04-22 13:39:55+00,19.3,427,49.5,3,8.46,main bedroom
70B3D55F200001BB,2021-04-22 13:34:11+00,17.9,422,54,3,8.46,lounge
70B3D55F200001B9,2021-04-22 13:40:03+00,18.3,433,52,3,8.27,second bedroom
70B3D55F200001BC,2021-04-22 13:47:25+00,19.3,417,49.5,3,8.46,main bedroom
70B3D55F200001BB,2021-04-22 13:41:40+00,17.8,420,54,3,8.36,lounge
70B3D55F200001B9,2021-04-22 13:47:32+00,18.3,432,52,3,8.27,second bedroom
70B3D55F200001BB,2021-04-22 13:56:39+00,17.8,443,54,3,8.36,lounge
70B3D55F200001BB,2021-04-22 13:49:08+00,17.8,435,54,3,8.36,lounge
70B3D55F200001BB,2021-04-22 14:04:11+00,17.8,426,54,3,8.36,lounge
70B3D55F200001BC,2021-04-22 13:54:57+00,19.4,431,49.5,3,8.55,main bedroom
70B3D55F200001B9,2021-04-22 13:55:02+00,18.3,432,52,3,8.27,second bedroom
70B3D55F200001BC,2021-04-22 14:02:28+00,19.4,434,49.5,3,8.55,main bedroom
70B3D55F200001B9,2021-04-22 14:02:33+00,18.3,419,52,3,8.27,second bedroom
70B3D55F200001B9,2021-04-22 14:10:04+00,18.2,427,52,3,8.18,second bedroom
70B3D55F200001BC,2021-04-22 14:09:57+00,19.5,450,49,3,8.5,main bedroom
70B3D55F200001BB,2021-04-22 14:11:42+00,17.8,428,54.5,3,8.5,lounge
70B3D55F200001BC,2021-04-22 14:17:27+00,19.5,443,49,3,8.5,main bedroom
70B3D55F200001B9,2021-04-22 14:17:35+00,18.2,444,52,3,8.18,second bedroom
70B3D55F200001B9,2021-04-22 14:25:06+00,18.2,428,52,3,8.18,second bedroom
70B3D55F200001BB,2021-04-22 14:19:11+00,17.8,433,54.5,3,8.5,lounge
70B3D55F200001BC,2021-04-22 14:24:56+00,19.6,421,49,3,8.59,main bedroom
70B3D55F200001BB,2021-04-22 14:26:39+00,17.7,426,54.5,3,8.41,lounge
70B3D55F200001BC,2021-04-22 14:32:24+00,19.6,423,48.5,3,8.44,main bedroom
70B3D55F200001B9,2021-04-22 14:32:38+00,18.2,419,52,3,8.18,second bedroom
70B3D55F200001B9,2021-04-22 14:40:09+00,18.2,451,52,3,8.18,second bedroom
70B3D55F200001BB,2021-04-22 14:34:10+00,17.7,444,54.5,3,8.41,lounge
70B3D55F200001BB,2021-04-22 14:41:42+00,17.7,442,54.5,3,8.41,lounge
70B3D55F200001BC,2021-04-22 14:39:52+00,19.6,410,48.5,3,8.44,main bedroom
70B3D55F200001BB,2021-04-22 14:49:13+00,17.7,437,54.5,3,8.41,lounge
70B3D55F200001BC,2021-04-22 14:47:23+00,19.7,430,48,3,8.38,main bedroom
70B3D55F200001B9,2021-04-22 14:47:40+00,18.2,419,52,3,8.18,second bedroom
70B3D55F200001BC,2021-04-22 14:54:52+00,19.7,430,48,3,8.38,main bedroom
70B3D55F200001B9,2021-04-22 14:55:11+00,18.2,433,52,3,8.18,second bedroom
70B3D55F200001BB,2021-04-22 14:56:45+00,17.7,425,54.5,3,8.41,lounge
70B3D55F200001BC,2021-04-22 15:02:24+00,19.8,416,48,3,8.47,main bedroom
70B3D55F200001B9,2021-04-22 15:02:39+00,18.2,422,52,3,8.18,second bedroom
70B3D55F200001BC,2021-04-22 15:09:55+00,19.8,422,47.5,3,8.31,main bedroom
70B3D55F200001BB,2021-04-22 15:04:17+00,17.6,430,54.5,3,8.31,lounge
70B3D55F200001B9,2021-04-22 15:10:09+00,18.2,434,52,3,8.18,second bedroom
70B3D55F200001BC,2021-04-22 15:17:26+00,19.9,432,47.5,3,8.4,main bedroom
70B3D55F200001B9,2021-04-22 15:17:40+00,18.2,423,51.5,3,8.03,second bedroom
70B3D55F200001BB,2021-04-22 15:26:44+00,17.6,444,54.5,3,8.31,lounge
70B3D55F200001BB,2021-04-22 15:19:14+00,17.6,439,54.5,3,8.31,lounge
70B3D55F200001BC,2021-04-22 15:24:57+00,19.9,422,47.5,3,8.4,main bedroom
70B3D55F200001B9,2021-04-22 15:25:08+00,18.1,418,51.5,3,7.94,second bedroom
70B3D55F200001BB,2021-04-22 15:34:16+00,17.6,448,54.5,3,8.31,lounge
70B3D55F200001BC,2021-04-22 15:32:29+00,19.9,430,47,3,8.25,main bedroom
70B3D55F200001B9,2021-04-22 15:32:38+00,18.1,426,51.5,3,7.94,second bedroom
70B3D55F200001BC,2021-04-22 15:39:58+00,20,405,47,3,8.34,main bedroom
70B3D55F200001B9,2021-04-22 15:40:06+00,18.1,437,51.5,3,7.94,second bedroom
70B3D55F200001BC,2021-04-22 15:47:30+00,20,426,46.5,3,8.18,main bedroom
70B3D55F200001BB,2021-04-22 15:41:45+00,17.6,444,54.5,3,8.31,lounge
70B3D55F200001B9,2021-04-22 15:47:34+00,18.1,416,51.5,3,7.94,second bedroom
70B3D55F200001BC,2021-04-22 15:55:02+00,20.1,403,46.5,3,8.27,main bedroom
70B3D55F200001BB,2021-04-22 15:49:16+00,17.6,442,54.5,3,8.31,lounge
70B3D55F200001B9,2021-04-22 15:55:04+00,18.1,417,51.5,3,7.94,second bedroom
70B3D55F200001BC,2021-04-22 16:02:32+00,20.1,428,46.5,3,8.27,main bedroom
70B3D55F200001BB,2021-04-22 15:56:48+00,17.5,442,54.5,3,8.22,lounge
70B3D55F200001BB,2021-04-22 16:04:18+00,17.5,442,54.5,3,8.22,lounge
70B3D55F200001B9,2021-04-22 16:02:32+00,18.1,413,51.5,3,7.94,second bedroom
70B3D55F200001BC,2021-04-22 16:10:03+00,20.1,426,46,3,8.11,main bedroom
70B3D55F200001B9,2021-04-22 16:10:04+00,18.1,426,51.5,3,7.94,second bedroom
70B3D55F200001BB,2021-04-22 16:19:18+00,17.5,438,54.5,3,8.22,lounge
70B3D55F200001BB,2021-04-22 16:11:46+00,17.5,426,54.5,3,8.22,lounge
70B3D55F200001B9,2021-04-22 16:17:32+00,18.1,427,51,3,7.8,second bedroom
70B3D55F200001BC,2021-04-22 16:17:35+00,20.2,423,46,3,8.2,main bedroom
70B3D55F200001BB,2021-04-22 16:26:48+00,17.5,440,54.5,3,8.22,lounge
70B3D55F200001BC,2021-04-22 16:25:03+00,20.2,444,46,3,8.2,main bedroom
70B3D55F200001B9,2021-04-22 16:25:03+00,18.1,423,51,3,7.8,second bedroom
70B3D55F200001BC,2021-04-22 16:32:32+00,20.2,411,46,3,8.2,main bedroom
70B3D55F200001B9,2021-04-22 16:32:33+00,18.1,423,51,3,7.8,second bedroom
70B3D55F200001B9,2021-04-22 16:40:03+00,18.1,422,51,3,7.8,second bedroom
70B3D55F200001BB,2021-04-22 16:34:15+00,17.5,447,54.5,3,8.22,lounge
70B3D55F200001BC,2021-04-22 16:40:04+00,20.2,422,45.5,3,8.04,main bedroom
70B3D55F200001B9,2021-04-22 16:47:33+00,18.1,438,51,3,7.8,second bedroom
70B3D55F200001BB,2021-04-22 16:41:43+00,17.4,451,54.5,3,8.13,lounge
70B3D55F200001BC,2021-04-22 16:47:34+00,20.2,419,45.5,3,8.04,main bedroom
70B3D55F200001BB,2021-04-22 16:49:11+00,17.4,433,54.5,3,8.13,lounge
70B3D55F200001B9,2021-04-22 16:55:04+00,18,433,51,3,7.71,second bedroom
70B3D55F200001BC,2021-04-22 16:55:05+00,20.2,419,45.5,3,8.04,main bedroom
70B3D55F200001BC,2021-04-22 17:02:35+00,20.3,421,45,3,7.97,main bedroom
70B3D55F200001BB,2021-04-22 16:56:42+00,17.4,449,54.5,3,8.13,lounge
70B3D55F200001B9,2021-04-22 17:02:36+00,18,428,51,3,7.71,second bedroom
70B3D55F200001B9,2021-04-22 17:10:07+00,18.2,449,50,3,7.6,second bedroom
70B3D55F200001BB,2021-04-22 17:04:11+00,17.4,451,54.5,3,8.13,lounge
70B3D55F200001BC,2021-04-22 17:10:07+00,20.6,419,45,3,8.24,main bedroom
70B3D55F200001BB,2021-04-22 17:11:41+00,17.7,444,53.5,3,8.13,lounge
