Created via cygcheck -c command
The cygwin package version used to download was 2.83

Cygwin Package Information
Package                             Version            Status
dconf-service                       0.16.1-1           OK
ddd                                 3.3.12-2           OK
desktop-file-utils                  0.21-1             OK
dialog                              1.2-20130523-1     OK
diffstat                            1.56-1             OK
diffutils                           3.3-1              OK
docbook-dsssl                       1.79-2             OK
docbook-xml412                      4.1.2-2            OK
docbook-xml42                       4.2-4              OK
docbook-xml43                       4.3-2              OK
docbook-xml44                       4.4-2              OK
docbook-xsl                         1.77.1-1           OK
dri-drivers                         8.0.5-5            OK
e2fsimage                           0.2.2-1            OK
e2fsprogs                           1.42.7-1           OK
ed                                  1.9-1              OK
editrights                          1.02-1             OK
ELFIO                               2.2-1              OK
enscript                            1.6.4-1            OK
file                                5.13-1             OK
findutils                           4.5.11-1           OK
fixesproto                          5.0-1              OK
font-adobe-dpi100                   1.0.2-1            OK
font-adobe-dpi75                    1.0.2-1            OK
font-adobe-utopia-dpi100            1.0.3-1            OK
font-adobe-utopia-dpi75             1.0.3-1            OK
font-adobe-utopia-type1             1.0.3-1            OK
font-alias                          1.0.3-1            OK
font-bh-dpi75                       1.0.2-1            OK
font-bh-lucidatypewriter-dpi100     1.0.2-1            OK
font-bh-lucidatypewriter-dpi75      1.0.2-1            OK
font-bh-ttf                         1.0.3-1            OK
font-bh-type1                       1.0.2-1            OK
font-bitstream-dpi100               1.0.2-1            OK
font-bitstream-dpi75                1.0.2-1            OK
font-bitstream-speedo               1.0.1-1            OK
font-bitstream-type1                1.0.2-1            OK
font-bitstream-vera-ttf             1.10-1             OK
font-cantarell-otf                  0.0.14-1           OK
font-cursor-misc                    1.0.2-1            OK
font-daewoo-misc                    1.0.2-1            OK
font-dec-misc                       1.0.2-1            OK
font-encodings                      1.0.4-1            OK
font-ibm-type1                      1.0.2-1            OK
font-micro-misc                     1.0.2-1            OK
font-misc-misc                      1.1.1-1            OK
font-mutt-misc                      1.0.2-1            OK
font-schumacher-misc                1.1.1-1            OK
font-sony-misc                      1.0.2-1            OK
font-sun-misc                       1.0.2-1            OK
font-tektronix-misc                 2.6-2              OK
font-util                           1.3.0-1            OK
font-xfree86-type1                  1.0.3-1            OK
fontconfig                          2.10.93-1          OK
fontsproto                          2.1.2-1            OK
gamin                               0.1.10-14          OK
gawk                                4.1.0-1            OK
gcc-core                            4.8.2-1            OK
gcc-fortran                         4.8.2-1            OK
gcc-g++                             4.8.2-1            OK
gconf-desktop-schemas               2.32.1-3           OK
GConf2                              3.2.6-2            OK
gcr                                 3.8.2-1            OK
gdb                                 7.6.50-4           OK
gettext                             0.18.1.1-3         OK
gettext-devel                       0.18.1.1-3         OK
ghostscript                         9.06-2             OK
ghostscript-fonts-other             6.0-1              OK
ghostscript-fonts-std               8.11-1             OK
git                                 1.7.9-1            OK
glib2.0-networking                  2.36.2-1           OK
gmp                                 5.1.3-1            OK
gnome-common                        3.7.4-2            OK
gnome-doc-utils                     0.20.10-2          OK
gnome-icon-theme                    3.8.3-1            OK
gnome-keyring                       3.8.2-1            OK
gnome-mime-data                     2.18.0-10          OK
gnutls-devel                        3.2.0-4            OK
grep                                2.14-3             OK
groff                               1.22.2-1           OK
gsettings-desktop-schemas           3.8.2-1            OK
gtk-doc                             1.19-1             OK
gtk-update-icon-cache               3.8.2-1            OK
gtk2.0-engines                      2.20.2-1           OK
gtk2.0-engines-svg                  2.36.4-1           OK
gv                                  3.7.4-1            OK
gvfs                                1.16.3-1           OK
gzip                                1.4-1              OK
hicolor-icon-theme                  0.12-1             OK
hostname                            3.13-1             OK
ImageMagick                         6.7.6.3-4          OK
ImageMagick-doc                     6.7.6.3-4          OK
imake                               1.0.6-1            OK
indent                              2.2.11-1           OK
initscripts                         0.9-1              OK
inputproto                          2.3-1              OK
intltool                            0.50.2-2           OK
ipc-utils                           1.0-2              OK
itstool                             1.2.0-1            OK
jpeg                                1.2.1-2            OK
kbproto                             1.0.6-1            OK
less                                458-1              OK
libapr1                             1.4.8-1            OK
libaprutil1                         1.5.2-4            OK
libarchive13                        3.1.2-2            OK
libasn1_8                           1.5.2-4            OK
libaspell15                         0.60.6.1-1         OK
libasprintf0                        0.18.1.1-3         OK
libasyncns0                         0.8-1              OK
libatk-bridge2.0_0                  2.8.1-1            OK
libatk1.0-devel                     2.8.0-1            OK
libatk1.0_0                         2.8.0-1            OK
libatomic1                          4.8.2-1            OK
libatspi0                           2.8.0-1            OK
libattr1                            2.4.46-1           OK
libautotrace3                       0.31.1-1           OK
libavahi-client3                    0.6.31-2           OK
libavahi-common3                    0.6.31-2           OK
libavahi-core7                      0.6.31-2           OK
libavahi-glib1                      0.6.31-2           OK
libavahi-ui-gtk3_0                  0.6.31-2           OK
libblkid-devel                      2.21.2-1           OK
libblkid1                           2.21.2-1           OK
libbonobo2-devel                    2.32.1-2           OK
libbonobo2_0                        2.32.1-2           OK
libboost1.53                        1.53.0-2           OK
libbz2-devel                        1.0.6-2            OK
libbz2_1                            1.0.6-2            OK
libcairo-devel                      1.12.14-3          OK
libcairo2                           1.12.14-3          OK
libcanberra-devel                   0.30-1             OK
libcanberra0                        0.30-1             OK
libcatgets1                         1.1-2              OK
libcharset1                         1.14-1             OK
libcloog-isl4                       0.18.0-2           OK
libcom_err-devel                    1.42.7-1           OK
libcom_err2                         1.42.7-1           OK
libcroco0.6_3                       0.6.8-1            OK
libcrypt0                           1.1-1              OK
libcurl4                            7.32.0-1           OK
libdaemon0                          0.14-1             OK
libdatrie1                          0.2.6-1            OK
libdb5.3                            5.3.21-1           OK
libdbus-glib_1_2                    0.100.2-1          OK
libdbus1-devel                      1.6.16-1           OK
libdbus1_3                          1.6.16-1           OK
libdialog11                         1.2-20130523-1     OK
libdns_sd1                          379.32.1-1         OK
libe2p-devel                        1.42.7-1           OK
libe2p2                             1.42.7-1           OK
libedit0                            20130712-1         OK
libEMF-devel                        1.0.7-1            OK
libEMF1                             1.0.7-1            OK
libexpat-devel                      2.1.0-3            OK
libexpat1                           2.1.0-3            OK
libext2fs-devel                     1.42.7-1           OK
libext2fs2                          1.42.7-1           OK
libfam0                             0.1.10-14          OK
libffi-devel                        3.0.13-1           OK
libffi6                             3.0.13-1           OK
libfftw3_3                          3.3.3-1            OK
libFLAC8                            1.3.0-1            OK
libfontconfig-devel                 2.10.93-1          OK
libfontconfig1                      2.10.93-1          OK
libfontenc1                         1.1.2-1            OK
libfpx1                             1.3.1.2-1          OK
libfreetype-devel                   2.4.12-1           OK
libfreetype6                        2.4.12-1           OK
libgcc1                             4.8.2-1            OK
libgck1_0                           3.8.2-1            OK
libgconf2-devel                     3.2.6-2            OK
libgconf2_4                         3.2.6-2            OK
libgcr3-common                      3.8.2-1            OK
libgcr3_1                           3.8.2-1            OK
libgcrypt-devel                     1.5.0-1            OK
libgcrypt11                         1.5.0-1            OK
libgd-devel                         2.0.36RC1-1        OK
libgd2                              2.0.36RC1-1        OK
libgdbm4                            1.10-2             OK
libgdk_pixbuf2.0-devel              2.28.2-1           OK
libgdk_pixbuf2.0_0                  2.28.2-1           OK
libgdk_pixbuf_xlib2.0-devel         2.28.2-1           OK
libgdk_pixbuf_xlib2.0_0             2.28.2-1           OK
libgettextpo0                       0.18.1.1-3         OK
libgfortran3                        4.8.2-1            OK
libgif-devel                        4.1.6-12           OK
libgif4                             4.1.6-12           OK
libglade2.0_0                       2.6.4-2            OK
libglapi0                           8.0.5-5            OK
libglib2.0-devel                    2.36.4-3           OK
libglib2.0_0                        2.36.4-3           OK
libgmp-devel                        5.1.3-1            OK
libgmp10                            5.1.3-1            OK
libgmpxx4                           5.1.3-1            OK
libgnome2-devel                     2.32.1-3           OK
libgnome2_0                         2.32.1-3           OK
libgnomevfs2-devel                  2.24.4-4           OK
libgnomevfs2_0                      2.24.4-4           OK
libgnutls28                         3.2.0-4            OK
libgomp1                            4.8.2-1            OK
libgpg-error-devel                  1.10-1             OK
libgpg-error0                       1.10-1             OK
libgraphite2_3                      1.2.3-1            OK
libgs9                              9.06-2             OK
libgssapi3                          1.5.2-4            OK
libgtk2.0-devel                     2.24.22-1          OK
libgtk2.0-doc                       2.24.22-1          OK
libgtk2.0_0                         2.24.22-1          OK
libgtk3_0                           3.8.2-1            OK
libharfbuzz-devel                   0.9.19-1           OK
libharfbuzz0                        0.9.19-1           OK
libheimbase1                        1.5.2-4            OK
libheimntlm0                        1.5.2-4            OK
libhogweed2                         2.7-1              OK
libhx509_5                          1.5.2-4            OK
libICE-devel                        1.0.8-1            OK
libICE6                             1.0.8-1            OK
libiconv-devel                      1.14-1             OK
libiconv2                           1.14-1             OK
libicu-devel                        51.2-1             OK
libicu51                            51.2-1             OK
libIDL2-devel                       0.8.14-2           OK
libIDL2_0                           0.8.14-2           OK
libidn11                            1.26-1             OK
libintl8                            0.18.1.1-3         OK
libiodbc2                           3.52.8-2           OK
libisl10                            0.11.1-2           OK
libjasper1                          1.900.1-13         OK
libjbig2                            2.0-12             OK
libjpeg-devel                       1.2.1-2            OK
libjpeg8                            1.2.1-2            OK
libjson-c-common                    0.11-1             OK
libjson-c2                          0.11-1             OK
libkafs0                            1.5.2-4            OK
libkpathsea6                        20130529-1         OK
libkrb5_26                          1.5.2-4            OK
liblapack0                          3.4.2-1            OK
liblcms2_2                          2.5-1              OK
libltdl7                            2.4.2-3            OK
