Results of ESP-r simulations of INDU-Zero archetype variations under three different climates.

All values in units of kWh/m^2.
Where a range is reported, values are mean ± range/2 from five different weather variations.

|              |           |               | space   |                             electrical draws                                |
| archetype    | location  | case          | heating | lighting | appliances | cooking | dhw   | ashp   | total  | pv     | net    |
|              | glasgow   | base          |    88.8 |          |            |         |       |   55.1 |  109.5 |    0.0 |  109.5 |
|              |           |               | ±   4.7 |          |            |         |       | ±  4.3 | ±  4.3 | ±  0.0 | ±  4.3 |
|              |           | + upgrade     |    26.5 |          |            |         |       |   11.4 |   65.8 |        |   65.8 |
|              |           |   panels      | ±   2.8 |          |            |         |       | ±  1.5 | ±  1.5 |        | ±  1.5 |
|              |           | + passivhaus  |     8.0 |          |            |         |       |    3.0 |   57.5 |        |   57.5 |
|              |           |   ventilation | ±   1.6 |          |            |         |       | ±  0.6 | ±  0.6 |        | ±  0.6 |
|              |           | + floor       |     7.4 |          |            |         |       |    2.8 |   57.3 |        |   57.3 |
|              |           |   insulation  | ±   1.5 |          |            |         |       | ±  0.6 | ±  0.6 |        | ±  0.6 |
|              | oslo      | base          |   119.1 |          |            |         |       |   84.6 |  139.1 |    0.0 |  139.1 |
|              |           |               | ±   4.6 |          |            |         |       | ±  4.4 | ±  4.4 | ±  0.0 | ±  4.4 |
|              |           | + upgrade     |    35.1 |          |            |         |       |   16.5 |   71.0 |        |   71.0 |
|              |           |   panels      | ±   2.0 |          |            |         |       | ±  1.3 | ±  1.3 |        | ±  1.3 |
|              |           | + passivhaus  |    13.1 |          |            |         |       |    4.9 |   59.4 |        |   59.4 |
|              |           |   ventilation | ±   1.2 |          |            |         |       | ±  0.5 | ±  0.5 |        | ±  0.5 |
|              |           | + floor       |    12.3 |          |            |         |       |    4.6 |   59.1 |        |   59.1 |
|              |           |   insulation  | ±   1.2 |          |            |         |       | ±  0.4 | ±  0.4 |        | ±  0.4 |
|--------------|-----------|---------------|---------|----------|------------|---------|-------|--------|--------|--------|--------|
