TEDDI,2013-07-25 10:10:30.899,93,5,24,9,1,23.88,285.0,632,58.14,266,310,290,40.3,46.8,41.2
TEDDI,2013-07-25 10:10:10.348,110,5,24,5,96,24.03,129.4,603,54.59,5,916,437,23.5,67.1,61.0
TEDDI,2013-07-25 10:10:16.363,110,5,24,6,72,24.03,138.1,608,54.59,231,376,307,39.2,42.8,40.3
TEDDI,2013-07-25 10:10:22.378,110,5,24,7,48,24.03,121.3,608,54.59,163,360,297,23.5,76.7,58.8
TEDDI,2013-07-25 10:10:28.393,110,5,24,8,24,24.03,124.3,607,54.59,270,370,303,39.2,71.9,55.2
TEDDI,2013-07-25 10:10:34.407,110,5,24,9,0,24.03,114.6,609,54.57,45,314,286,23.5,59.6,51.7
TEDDI,2013-07-25 10:10:13.095,82,5,24,5,96,22.73,71.7,703,60.43,25,373,101,23.5,58.8,56.2
TEDDI,2013-07-25 10:10:19.110,82,5,24,6,72,22.74,71.7,702,60.43,29,532,148,23.5,60.3,57.0
TEDDI,2013-07-25 10:10:25.125,82,5,24,7,48,22.74,60.5,703,60.43,10,292,129,23.5,53.2,47.6
TEDDI,2013-07-25 10:10:31.140,82,5,24,8,24,22.74,69.4,703,60.43,33,660,237,23.5,69.6,59.2
TEDDI,2013-07-25 10:10:37.154,82,5,24,9,0,22.74,73.5,704,60.43,64,532,218,23.5,58.8,56.5
TEDDI,2013-07-25 10:10:13.791,71,5,24,5,96,23.26,285.0,617,57.60,10,920,299,23.5,75.0,65.5
TEDDI,2013-07-25 10:10:19.806,71,5,24,6,72,23.25,285.0,620,57.60,0,1022,268,23.5,61.5,53.0
TEDDI,2013-07-25 10:10:25.821,71,5,24,7,48,23.26,285.0,622,57.60,5,997,196,23.5,64.2,55.5
TEDDI,2013-07-25 10:10:31.585,71,5,24,8,25,23.25,285.0,619,57.60,258,285,269,23.5,67.1,57.0
TEDDI,2013-07-25 10:10:37.600,71,5,24,9,1,23.26,285.0,620,57.60,243,537,277,39.2,45.8,41.2
TEDDI,2013-07-25 10:10:28.329,91,5,24,10,96,23.28,18.4,605,56.49,8,1017,176,23.5,79.1,64.5
TEDDI,2013-07-25 10:10:34.344,91,5,24,11,72,23.28,18.9,608,56.49,1,1021,168,23.5,70.4,66.0
TEDDI,2013-07-25 10:10:40.358,91,5,24,12,48,23.28,19.2,608,56.51,237,307,277,44.8,57.0,47.2
TEDDI,2013-07-25 10:10:46.373,91,5,24,10,24,23.30,19.0,608,56.51,16,1016,432,23.5,57.5,55.8
TEDDI,2013-07-25 10:10:52.387,91,5,24,14,0,23.30,22.6,608,56.51,261,296,277,29.1,61.0,50.4
TEDDI,2013-07-25 10:10:36.238,72,5,24,10,96,23.42,36.1,595,57.01,45,298,167,23.5,68.2,65.1
TEDDI,2013-07-25 10:10:42.253,72,5,24,11,72,23.42,34.9,602,57.01,264,300,282,42.1,44.8,42.8
TEDDI,2013-07-25 10:10:48.267,72,5,24,12,48,23.42,36.4,601,57.01,257,330,287,42.1,45.3,42.8
TEDDI,2013-07-25 10:10:54.283,72,5,24,10,24,23.42,33.3,603,57.01,20,985,316,23.5,77.7,74.0
TEDDI,2013-07-25 10:11:00.297,72,5,24,14,0,23.42,38.8,602,57.01,29,409,142,23.5,60.6,54.5
TEDDI,2013-07-25 10:10:36.973,93,5,24,10,96,23.88,285.0,626,58.14,33,319,224,23.5,54.7,52.6
TEDDI,2013-07-25 10:10:42.988,93,5,24,11,72,23.88,285.0,632,58.14,272,307,290,40.3,43.5,42.1
TEDDI,2013-07-25 10:10:49.003,93,5,24,12,48,23.87,171.7,632,58.16,41,299,208,23.5,52.4,51.7
TEDDI,2013-07-25 10:10:55.017,93,5,24,10,24,23.87,187.7,632,58.16,33,315,240,23.5,53.2,51.4
TEDDI,2013-07-25 10:11:01.032,93,5,24,14,0,23.87,285.0,632,58.16,275,313,292,40.3,41.2,40.3
TEDDI,2013-07-25 10:10:40.453,110,5,24,10,96,24.01,109.2,606,54.57,25,325,251,23.5,54.0,50.1
TEDDI,2013-07-25 10:10:46.468,110,5,24,11,72,24.01,125.3,609,54.57,268,575,316,37.9,40.3,37.9
TEDDI,2013-07-25 10:10:52.483,110,5,24,12,48,24.03,127.3,608,54.57,29,327,290,23.5,59.6,51.2
TEDDI,2013-07-25 10:10:58.498,110,5,24,10,24,24.03,148.5,608,54.57,238,382,306,37.9,40.3,37.9
TEDDI,2013-07-25 10:11:04.263,110,5,24,14,1,24.03,285.0,60418,89.27,25,377,215,23.5,52.4,50.1
TEDDI,2013-07-25 10:10:43.200,82,5,24,10,96,22.74,74.1,701,60.43,17,290,127,23.5,47.6,45.3
TEDDI,2013-07-25 10:10:49.215,82,5,24,11,72,22.74,81.0,703,60.41,17,293,232,23.5,47.6,45.3
TEDDI,2013-07-25 10:10:55.229,82,5,24,12,48,22.74,77.1,703,60.41,14,977,336,23.5,72.7,67.4
TEDDI,2013-07-25 10:11:01.244,82,5,24,10,24,22.74,77.8,704,60.41,17,291,211,23.5,47.6,45.8
TEDDI,2013-07-25 10:11:07.258,82,5,24,14,0,22.74,74.1,705,60.43,64,644,325,23.5,58.8,56.9
TEDDI,2013-07-25 10:10:43.791,71,5,24,10,96,23.26,285.0,615,57.60,13,351,229,23.5,58.0,52.4
TEDDI,2013-07-25 10:10:49.806,71,5,24,11,72,23.26,285.0,624,57.60,246,289,267,37.9,45.3,40.3
TEDDI,2013-07-25 10:10:55.820,71,5,24,12,48,23.26,285.0,623,57.60,251,288,268,37.9,46.3,40.3
TEDDI,2013-07-25 10:11:01.836,71,5,24,10,24,23.26,285.0,623,57.60,246,284,263,39.2,42.1,40.3
TEDDI,2013-07-25 10:11:07.600,71,5,24,14,1,23.26,285.0,620,57.60,233,328,265,39.2,42.8,40.3
TEDDI,2013-07-25 10:10:58.329,91,5,24,15,96,23.28,20.8,605,56.51,252,302,275,23.5,56.5,50.4
TEDDI,2013-07-25 10:11:04.343,91,5,24,16,72,23.30,17.7,608,56.51,125,313,267,23.5,75.2,70.3
TEDDI,2013-07-25 07:39:54.358,91,5,24,12288,36352,2487.10,285.0,11010,4.91,36,1021,278,23.5,78.9,68.3
TEDDI,2013-07-25 10:11:16.373,91,5,24,18,24,23.28,22.6,608,56.51,25,241,108,23.5,79.2,75.5
TEDDI,2013-07-25 07:42:02.387,91,5,24,0,35840,4174.60,285.0,11010,8.03,12,848,247,23.5,74.6,56.9
TEDDI,2013-07-25 10:11:06.239,72,5,24,15,96,23.42,38.5,599,57.01,24,1017,219,23.5,55.3,54.0
TEDDI,2013-07-25 10:11:12.254,72,5,24,16,72,23.42,34.1,603,57.01,49,1012,390,23.5,75.2,67.9
TEDDI,2013-07-25 07:27:14.268,72,5,24,12288,39424,-25.58,285.0,31746,22.09,65,852,394,23.5,72.4,65.8
TEDDI,2013-07-25 10:11:24.283,72,5,24,18,24,23.42,35.8,602,57.01,81,961,390,23.5,78.9,73.2
TEDDI,2013-07-25 07:27:14.298,72,5,24,0,39424,-2.38,285.0,31746,64.28,41,237,121,23.5,77.7,64.0
TEDDI,2013-07-25 10:11:06.973,93,5,24,15,96,23.85,285.0,631,58.16,37,309,252,23.5,63.3,54.9
TEDDI,2013-07-25 10:11:12.988,93,5,24,16,72,23.87,164.9,632,58.16,41,325,233,23.5,77.9,62.9
TEDDI,2013-07-25 06:41:23.003,93,5,24,12288,50432,3549.60,285.0,14594,53.35,65,772,322,23.5,72.7,66.9
TEDDI,2013-07-25 10:11:25.018,93,5,24,18,24,23.85,176.0,630,58.18,278,308,292,23.5,66.1,54.4
TEDDI,2013-07-25 06:42:27.033,93,5,24,0,50176,3987.10,285.0,15618,54.91,41,237,129,23.5,76.9,65.5
TEDDI,2013-07-25 10:11:10.453,110,5,24,15,96,24.03,138.1,603,54.57,234,352,298,37.9,50.6,42.8
TEDDI,2013-07-25 10:11:16.469,110,5,24,16,72,24.03,125.3,608,54.57,237,392,310,37.9,67.9,51.4
TEDDI,2013-07-25 06:25:26.483,110,5,24,12288,54272,2362.10,285.0,60418,72.08,36,869,432,23.5,77.2,70.6
TEDDI,2013-07-25 10:11:28.248,110,5,24,18,25,24.03,147.3,610,54.57,96,809,245,23.5,78.9,71.7
TEDDI,2013-07-25 06:25:26.513,110,5,24,256,54272,2487.10,285.0,59394,76.77,4,996,360,23.5,65.2,61.5
TEDDI,2013-07-25 10:11:13.095,82,5,24,15,96,22.74,71.7,701,60.43,77,785,354,23.5,78.3,70.6
TEDDI,2013-07-25 10:11:19.110,82,5,24,16,72,22.74,73.5,705,60.43,21,298,170,23.5,57.5,48.8
TEDDI,2013-07-25 08:39:53.125,82,5,24,12288,22016,232.23,285.0,44290,36.17,36,660,290,23.5,76.4,70.6
TEDDI,2013-07-25 10:11:31.140,82,5,24,18,24,22.74,82.3,704,60.43,128,564,330,23.5,78.0,63.8
